P1        	P2      	P3       	O            	D	std(D)	Z	BABA	ABBA	nloci	nboot	pdisc	notes
[CRL0001] 	[CUVN10]	[FLSF47] 	[AR,EN,DO,DU]	0.269	0.034	7.90	463.50	804.50	13567	200	0.11	test 9.111
[CRL0001] 	[CUVN10]	[FLMO62] 	[AR,EN,DO,DU]	0.229	0.031	7.49	441.38	704.12	13338	200	0.11	test 9.112
[CRL0001] 	[CUVN10]	[FLSA185]	[AR,EN,DO,DU]	0.227	0.033	6.79	376.38	597.38	10622	200	0.11	test 9.113
[CRL0001] 	[CUVN10]	[FLCK216]	[AR,EN,DO,DU]	0.287	0.035	8.15	403.88	728.88	11628	200	0.11	test 9.114
[CRL0001] 	[CUVN10]	[FLAB109]	[AR,EN,DO,DU]	0.332	0.028	11.78	523.88	1044.62	15398	200	0.12	test 9.115
[CRL0001] 	[CUVN10]	[FLWO6]  	[AR,EN,DO,DU]	0.298	0.031	9.54	421.25	779.50	12782	200	0.11	test 9.116
[CRL0001] 	[CUVN10]	[FLSF54] 	[AR,EN,DO,DU]	0.302	0.029	10.41	549.75	1025.50	15044	200	0.12	test 9.117
[CRL0001] 	[CUVN10]	[FLCK18] 	[AR,EN,DO,DU]	0.277	0.029	9.62	443.00	782.25	12923	200	0.11	test 9.118
[CRL0001] 	[CUVN10]	[LALC2]  	[AR,EN,DO,DU]	0.291	0.027	10.68	593.75	1080.50	16546	200	0.12	test 9.119
[CRL0001] 	[CUVN10]	[FLSF33] 	[AR,EN,DO,DU]	0.289	0.034	8.63	447.38	811.88	12869	200	0.11	test 9.120
[CRL0001] 	[CUVN10]	[FLBA140]	[AR,EN,DO,DU]	0.248	0.026	9.63	607.25	1007.00	15452	200	0.12	test 9.121
[CRL0001] 	[CUCA4] 	[FLSF47] 	[AR,EN,DO,DU]	0.328	0.041	8.06	254.38	502.62	8254	200	0.11	test 9.122
[CRL0001] 	[CUCA4] 	[FLMO62] 	[AR,EN,DO,DU]	0.280	0.043	6.53	239.38	425.88	8094	200	0.10	test 9.123
[CRL0001] 	[CUCA4] 	[FLSA185]	[AR,EN,DO,DU]	0.190	0.056	3.41	237.88	349.38	6743	200	0.10	test 9.124
[CRL0001] 	[CUCA4] 	[FLCK216]	[AR,EN,DO,DU]	0.356	0.040	8.87	239.12	503.88	7617	200	0.11	test 9.125
[CRL0001] 	[CUCA4] 	[FLAB109]	[AR,EN,DO,DU]	0.338	0.036	9.37	324.00	655.00	9444	200	0.12	test 9.126
[CRL0001] 	[CUCA4] 	[FLWO6]  	[AR,EN,DO,DU]	0.417	0.034	12.36	205.12	498.88	7795	200	0.11	test 9.127
[CRL0001] 	[CUCA4] 	[FLSF54] 	[AR,EN,DO,DU]	0.376	0.038	9.80	285.75	630.75	8919	200	0.12	test 9.128
[CRL0001] 	[CUCA4] 	[FLCK18] 	[AR,EN,DO,DU]	0.362	0.040	9.10	229.62	490.12	7989	200	0.11	test 9.129
[CRL0001] 	[CUCA4] 	[LALC2]  	[AR,EN,DO,DU]	0.295	0.040	7.28	347.25	637.50	9913	200	0.11	test 9.130
[CRL0001] 	[CUCA4] 	[FLSF33] 	[AR,EN,DO,DU]	0.314	0.044	7.13	253.25	485.25	7807	200	0.11	test 9.131
[CRL0001] 	[CUCA4] 	[FLBA140]	[AR,EN,DO,DU]	0.270	0.037	7.36	334.62	582.38	9183	200	0.11	test 9.132
[CRL0030] 	[CUSV6] 	[FLSF47] 	[AR,EN,DO,DU]	0.298	0.036	8.37	405.50	749.00	10735	200	0.12	test 9.133
[CRL0030] 	[CUSV6] 	[FLMO62] 	[AR,EN,DO,DU]	0.290	0.031	9.51	372.50	677.50	10451	200	0.12	test 9.134
[CRL0030] 	[CUSV6] 	[FLSA185]	[AR,EN,DO,DU]	0.185	0.043	4.28	352.75	512.50	8754	200	0.11	test 9.135
[CRL0030] 	[CUSV6] 	[FLCK216]	[AR,EN,DO,DU]	0.322	0.031	10.49	351.50	685.75	9931	200	0.12	test 9.136
[CRL0030] 	[CUSV6] 	[FLAB109]	[AR,EN,DO,DU]	0.347	0.027	12.79	527.00	1087.75	13292	200	0.13	test 9.137
[CRL0030] 	[CUSV6] 	[FLWO6]  	[AR,EN,DO,DU]	0.385	0.031	12.42	331.50	746.75	10010	200	0.12	test 9.138
[CRL0030] 	[CUSV6] 	[FLSF54] 	[AR,EN,DO,DU]	0.367	0.026	14.07	490.38	1058.88	13074	200	0.14	test 9.139
[CRL0030] 	[CUSV6] 	[FLCK18] 	[AR,EN,DO,DU]	0.352	0.031	11.42	365.50	762.50	10198	200	0.12	test 9.140
[CRL0030] 	[CUSV6] 	[LALC2]  	[AR,EN,DO,DU]	0.293	0.029	10.06	538.00	984.25	13492	200	0.13	test 9.141
[CRL0030] 	[CUSV6] 	[FLSF33] 	[AR,EN,DO,DU]	0.312	0.035	8.80	377.88	720.62	10041	200	0.12	test 9.142
[CRL0030] 	[CUSV6] 	[FLBA140]	[AR,EN,DO,DU]	0.245	0.028	8.70	626.12	1032.38	13356	200	0.14	test 9.143
[CRL0030] 	[CUVN10]	[FLSF47] 	[AR,EN,DO,DU]	0.240	0.029	8.17	535.25	873.50	13573	200	0.12	test 9.144
