P1      	P2     	P3       	O            	D	std(D)	Z	BABA	ABBA	nloci	nboot	pdisc	notes
[BJSB3] 	[TXMD3]	[FLCK216]	[AR,EN,DO,DU]	0.258	0.038	6.81	423.88	719.12	10443	200	0.12	test 16.92
[BJSB3] 	[TXMD3]	[FLAB109]	[AR,EN,DO,DU]	0.342	0.024	13.97	517.25	1055.00	13488	200	0.13	test 16.93
[BJSB3] 	[TXMD3]	[FLWO6]  	[AR,EN,DO,DU]	0.346	0.027	12.81	392.12	807.38	11470	200	0.12	test 16.94
[BJSB3] 	[TXMD3]	[FLSF54] 	[AR,EN,DO,DU]	0.311	0.026	11.93	518.62	986.62	13065	200	0.13	test 16.95
[BJSB3] 	[TXMD3]	[FLCK18] 	[AR,EN,DO,DU]	0.288	0.029	9.84	451.25	816.50	11625	200	0.12	test 16.96
[BJSB3] 	[TXMD3]	[LALC2]  	[AR,EN,DO,DU]	0.378	0.027	13.76	565.00	1251.50	14698	200	0.14	test 16.97
[BJSB3] 	[TXMD3]	[FLSF33] 	[AR,EN,DO,DU]	0.399	0.028	14.05	422.25	983.75	11591	200	0.13	test 16.98
[BJSB3] 	[TXMD3]	[FLBA140]	[AR,EN,DO,DU]	0.365	0.027	13.37	544.75	1170.25	13507	200	0.14	test 16.99
[BJSB3] 	[TXGR3]	[FLSF47] 	[AR,EN,DO,DU]	0.228	0.034	6.64	479.88	763.38	11275	200	0.12	test 16.100
[BJSB3] 	[TXGR3]	[FLMO62] 	[AR,EN,DO,DU]	0.210	0.035	6.09	453.88	695.38	11115	200	0.12	test 16.101
[BJSB3] 	[TXGR3]	[FLSA185]	[AR,EN,DO,DU]	0.184	0.039	4.77	370.12	537.12	8819	200	0.11	test 16.102
[BJSB3] 	[TXGR3]	[FLCK216]	[AR,EN,DO,DU]	0.183	0.040	4.53	413.88	599.38	9540	200	0.12	test 16.103
[BJSB3] 	[TXGR3]	[FLAB109]	[AR,EN,DO,DU]	0.227	0.035	6.44	545.50	866.75	12375	200	0.12	test 16.104
[BJSB3] 	[TXGR3]	[FLWO6]  	[AR,EN,DO,DU]	0.171	0.036	4.71	438.62	619.38	10526	200	0.11	test 16.105
[BJSB3] 	[TXGR3]	[FLSF54] 	[AR,EN,DO,DU]	0.273	0.029	9.52	511.88	895.88	12040	200	0.13	test 16.106
[BJSB3] 	[TXGR3]	[FLCK18] 	[AR,EN,DO,DU]	0.237	0.036	6.64	440.38	714.62	10699	200	0.12	test 16.107
[BJSB3] 	[TXGR3]	[LALC2]  	[AR,EN,DO,DU]	0.361	0.029	12.60	521.50	1109.75	13439	200	0.14	test 16.108
[BJSB3] 	[TXGR3]	[FLSF33] 	[AR,EN,DO,DU]	0.348	0.028	12.42	415.38	858.12	10714	200	0.13	test 16.109
[BJSB3] 	[TXGR3]	[FLBA140]	[AR,EN,DO,DU]	0.311	0.029	10.61	540.12	1028.12	12381	200	0.14	test 16.110
[BJSB3] 	[MXED8]	[FLSF47] 	[AR,EN,DO,DU]	0.149	0.034	4.32	549.12	740.88	12891	200	0.12	test 16.111
[BJSB3] 	[MXED8]	[FLMO62] 	[AR,EN,DO,DU]	0.097	0.033	2.94	569.38	692.12	12752	200	0.11	test 16.112
[BJSB3] 	[MXED8]	[FLSA185]	[AR,EN,DO,DU]	0.161	0.036	4.44	418.12	578.88	10090	200	0.11	test 16.113
[BJSB3] 	[MXED8]	[FLCK216]	[AR,EN,DO,DU]	0.123	0.035	3.49	507.38	649.38	11014	200	0.12	test 16.114
[BJSB3] 	[MXED8]	[FLAB109]	[AR,EN,DO,DU]	0.154	0.030	5.09	662.75	903.50	14404	200	0.12	test 16.115
[BJSB3] 	[MXED8]	[FLWO6]  	[AR,EN,DO,DU]	0.165	0.030	5.53	484.88	676.88	12079	200	0.11	test 16.116
[BJSB3] 	[MXED8]	[FLSF54] 	[AR,EN,DO,DU]	0.161	0.031	5.14	657.88	911.12	14102	200	0.13	test 16.117
[BJSB3] 	[MXED8]	[FLCK18] 	[AR,EN,DO,DU]	0.158	0.031	5.11	513.25	706.00	12275	200	0.11	test 16.118
[BJSB3] 	[MXED8]	[LALC2]  	[AR,EN,DO,DU]	0.176	0.029	6.01	727.50	1037.50	15652	200	0.13	test 16.119
[BJSB3] 	[MXED8]	[FLSF33] 	[AR,EN,DO,DU]	0.188	0.033	5.71	546.25	799.25	12299	200	0.12	test 16.120
[BJSB3] 	[MXED8]	[FLBA140]	[AR,EN,DO,DU]	0.173	0.025	7.02	686.00	973.75	14594	200	0.13	test 16.121
[BJSB3] 	[MXGT4]	[FLSF47] 	[AR,EN,DO,DU]	0.161	0.033	4.88	554.25	766.75	13411	200	0.11	test 16.122
[BJSB3] 	[MXGT4]	[FLMO62] 	[AR,EN,DO,DU]	0.105	0.035	3.02	544.75	672.00	13278	200	0.11	test 16.123
[BJSB3] 	[MXGT4]	[FLSA185]	[AR,EN,DO,DU]	0.056	0.037	1.53	478.25	535.00	10904	200	0.11	test 16.124
[BJSB3] 	[MXGT4]	[FLCK216]	[AR,EN,DO,DU]	0.138	0.032	4.28	513.50	677.50	12007	200	0.12	test 16.125
[BJSB3] 	[MXGT4]	[FLAB109]	[AR,EN,DO,DU]	0.142	0.028	5.13	710.75	946.50	15717	200	0.12	test 16.126
[BJSB3] 	[MXGT4]	[FLWO6]  	[AR,EN,DO,DU]	0.114	0.032	3.59	516.88	649.38	12624	200	0.11	test 16.127
[BJSB3] 	[MXGT4]	[FLSF54] 	[AR,EN,DO,DU]	0.124	0.028	4.40	674.12	865.62	15123	200	0.12	test 16.128
[BJSB3] 	[MXGT4]	[FLCK18] 	[AR,EN,DO,DU]	0.112	0.030	3.77	552.62	691.62	12858	200	0.11	test 16.129
[BJSB3] 	[MXGT4]	[LALC2]  	[AR,EN,DO,DU]	0.151	0.027	5.56	735.50	997.00	16399	200	0.12	test 16.130
[BJSB3] 	[MXGT4]	[FLSF33] 	[AR,EN,DO,DU]	0.177	0.031	5.77	561.25	803.00	12771	200	0.12	test 16.131
[BJSB3] 	[MXGT4]	[FLBA140]	[AR,EN,DO,DU]	0.177	0.030	5.93	729.00	1041.50	15627	200	0.13	test 16.132
